id_prestamo,fecha_otorgamiento,anio_otorgamiento,mes_otorgamiento,id_cliente,sexo_cliente,edad_cliente,tipo_disposicion,id_cuenta,frecuencia_emision_estado,id_distrito,nombre_distrito,region,poblacion_distrito,salario_distrito,desempleo_distrito,crimen_distrito,estado_prestamo,condicion_prestamo,descripcion_estado,monto_prestamo,plazo_meses,pago_mensual,saldo_pendiente_estimado
5039,1997-05-03,1997,5,383,F,59,OWNER,314,POPLATEK PO OBRATU,15,Cesky Krumlov,south Bohemia,58796,9045.0,3.0,1845.0,C,Vigente,"En curso, al dia",66840.0,24,2785.0,66840.0
5041,1997-07-11,1997,7,389,F,24,OWNER,319,POPLATEK TYDNE,47,Pardubice,east Bohemia,162580,9538.0,2.0,6079.0,C,Vigente,"En curso, al dia",369000.0,60,6150.0,369000.0
5042,1998-07-12,1998,7,403,F,25,OWNER,330,POPLATEK MESICNE,42,Havlickuv Brod,east Bohemia,95907,8388.0,2.0,1658.0,C,Vigente,"En curso, al dia",331584.0,48,6908.0,331584.0
5043,1997-12-25,1997,12,414,F,51,OWNER,339,POPLATEK TYDNE,46,Nachod,east Bohemia,112709,8369.0,2.0,2854.0,C,Vigente,"En curso, al dia",468060.0,60,7801.0,468060.0
5044,1994-12-21,1994,12,421,M,33,OWNER,344,POPLATEK MESICNE,54,Brno - mesto,south Moravia,387570,9897.0,2.0,18721.0,C,Vigente,"En curso, al dia",100980.0,60,1683.0,100980.0
5045,1995-05-01,1995,5,424,M,51,OWNER,347,POPLATEK MESICNE,65,Znojmo,south Moravia,114200,8403.0,6.0,2157.0,B,Cerrado,"Pagado, contrato terminado con deuda",187224.0,24,7801.0,187224.0
5046,1998-09-09,1998,9,426,M,61,OWNER,349,POPLATEK MESICNE,72,Olomouc,north Moravia,226122,8994.0,4.0,9672.0,C,Vigente,"En curso, al dia",42816.0,12,3568.0,42816.0
5051,1997-10-11,1997,10,458,M,37,OWNER,378,POPLATEK MESICNE,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,C,Vigente,"En curso, al dia",230400.0,60,3840.0,230400.0
5060,1994-07-19,1994,7,512,F,33,OWNER,426,POPLATEK MESICNE,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,D,Vigente,"En curso, en mora",252060.0,60,4201.0,252060.0
5061,1998-03-13,1998,3,530,F,41,OWNER,440,POPLATEK MESICNE,29,Rokycany,west Bohemia,45714,8843.0,3.0,818.0,C,Vigente,"En curso, al dia",84288.0,48,1756.0,84288.0
5063,1997-07-10,1997,7,533,F,57,OWNER,442,POPLATEK MESICNE,54,Brno - mesto,south Moravia,387570,9897.0,2.0,18721.0,D,Vigente,"En curso, en mora",357840.0,48,7455.0,357840.0
5072,1997-04-28,1997,4,568,F,38,OWNER,472,POPLATEK MESICNE,8,Mlada Boleslav,central Bohemia,112065,11277.0,1.0,5179.0,D,Vigente,"En curso, en mora",196800.0,24,8200.0,196800.0
5082,1996-10-24,1996,10,603,F,32,OWNER,501,POPLATEK MESICNE,13,Rakovnik,central Bohemia,53921,8598.0,3.0,1597.0,C,Vigente,"En curso, al dia",262980.0,60,4383.0,262980.0
5086,1997-07-16,1997,7,631,F,42,OWNER,525,POPLATEK MESICNE,70,Karvina,north Moravia,285387,10177.0,7.0,9878.0,C,Vigente,"En curso, al dia",210384.0,48,4383.0,210384.0
5088,1996-08-22,1996,8,655,M,56,OWNER,544,POPLATEK MESICNE,32,Ceska Lipa,north Bohemia,105058,9272.0,3.0,4340.0,A,Cerrado,Pagado sin problemas,91152.0,24,3798.0,0.0
5103,1997-11-28,1997,11,798,F,58,OWNER,666,POPLATEK MESICNE,27,Plzen - jih,west Bohemia,67298,8561.0,1.0,1029.0,A,Cerrado,Pagado sin problemas,12540.0,12,1045.0,0.0
5110,1997-04-01,1997,4,810,F,53,OWNER,675,POPLATEK MESICNE,58,Jihlava,south Moravia,109164,8757.0,3.0,2212.0,C,Vigente,"En curso, al dia",102240.0,60,1704.0,102240.0
5117,1997-08-20,1997,8,861,F,42,OWNER,718,POPLATEK MESICNE,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,A,Cerrado,Pagado sin problemas,76944.0,12,6412.0,0.0
5124,1998-02-12,1998,2,939,M,46,OWNER,785,POPLATEK TYDNE,21,Tabor,south Bohemia,103347,9104.0,2.0,2299.0,C,Vigente,"En curso, al dia",156096.0,36,4336.0,156096.0
5125,1995-11-23,1995,11,944,M,28,OWNER,789,POPLATEK MESICNE,39,Most,north Bohemia,119895,10446.0,7.0,4947.0,C,Vigente,"En curso, al dia",73056.0,48,1522.0,73056.0
5126,1994-07-24,1994,7,946,M,47,OWNER,790,POPLATEK MESICNE,54,Brno - mesto,south Moravia,387570,9897.0,2.0,18721.0,B,Cerrado,"Pagado, contrato terminado con deuda",208128.0,48,4336.0,208128.0
5128,1996-04-11,1996,4,968,M,41,OWNER,808,POPLATEK MESICNE,69,Jesenik,north Moravia,42821,8173.0,,,D,Vigente,"En curso, en mora",215616.0,48,4492.0,215616.0
5130,1994-05-11,1994,5,976,F,43,OWNER,813,POPLATEK MESICNE,16,Jindrichuv Hradec,south Bohemia,93931,8427.0,1.0,1874.0,A,Cerrado,Pagado sin problemas,24312.0,12,2026.0,0.0
5131,1995-01-08,1995,1,980,M,37,OWNER,816,POPLATEK MESICNE,52,Usti nad Orlici,east Bohemia,139012,8363.0,3.0,2564.0,A,Cerrado,Pagado sin problemas,48624.0,24,2026.0,0.0
5132,1995-02-17,1995,2,981,M,38,OWNER,817,POPLATEK MESICNE,5,Kolin,central Bohemia,95616,9307.0,4.0,2616.0,C,Vigente,"En curso, al dia",538500.0,60,8975.0,538500.0
5134,1997-02-02,1997,2,992,M,50,OWNER,825,POPLATEK MESICNE,19,Prachatice,south Bohemia,51428,8402.0,3.0,999.0,A,Cerrado,Pagado sin problemas,53076.0,12,4423.0,0.0
5136,1996-07-28,1996,7,1020,F,21,OWNER,846,POPLATEK MESICNE,72,Olomouc,north Moravia,226122,8994.0,4.0,9672.0,A,Cerrado,Pagado sin problemas,187104.0,24,7796.0,0.0
5138,1995-05-30,1995,5,1029,F,44,OWNER,854,POPLATEK MESICNE,62,Uherske Hradiste,south Moravia,145688,8544.0,1.0,2719.0,C,Vigente,"En curso, al dia",87216.0,48,1817.0,87216.0
5140,1998-02-24,1998,2,1051,F,27,OWNER,873,POPLATEK MESICNE,73,Opava,north Moravia,182027,8746.0,3.0,4355.0,C,Vigente,"En curso, al dia",178500.0,60,2975.0,178500.0
5145,1995-09-16,1995,9,1102,M,63,OWNER,915,POPLATEK MESICNE,72,Olomouc,north Moravia,226122,8994.0,4.0,9672.0,C,Vigente,"En curso, al dia",309552.0,48,6449.0,309552.0
5147,1998-05-21,1998,5,1130,F,58,OWNER,938,POPLATEK MESICNE,70,Karvina,north Moravia,285387,10177.0,7.0,9878.0,C,Vigente,"En curso, al dia",22260.0,60,371.0,22260.0
5148,1996-05-29,1996,5,1133,F,40,OWNER,940,POPLATEK MESICNE,37,Litomerice,north Bohemia,114006,9065.0,4.0,4147.0,C,Vigente,"En curso, al dia",284280.0,60,4738.0,284280.0
5151,1995-05-24,1995,5,1157,F,40,OWNER,960,POPLATEK PO OBRATU,4,Kladno,central Bohemia,149893,9753.0,5.0,5244.0,C,Vigente,"En curso, al dia",189060.0,60,3151.0,189060.0
5154,1998-07-01,1998,7,1197,F,32,OWNER,993,POPLATEK MESICNE,6,Kutna Hora,central Bohemia,77963,8546.0,3.0,2640.0,C,Vigente,"En curso, al dia",108720.0,60,1812.0,108720.0
5158,1998-04-11,1998,4,1208,F,23,OWNER,1004,POPLATEK MESICNE,70,Karvina,north Moravia,285387,10177.0,7.0,9878.0,C,Vigente,"En curso, al dia",188532.0,36,5237.0,188532.0
5160,1995-12-18,1995,12,1215,M,54,OWNER,1011,POPLATEK MESICNE,45,Jicin,east Bohemia,77917,8390.0,2.0,2080.0,C,Vigente,"En curso, al dia",204000.0,60,3400.0,204000.0
5161,1994-10-28,1994,10,1216,F,53,OWNER,1012,POPLATEK MESICNE,65,Znojmo,south Moravia,114200,8403.0,6.0,2157.0,A,Cerrado,Pagado sin problemas,98184.0,24,4091.0,0.0
5169,1998-09-24,1998,9,1282,M,62,OWNER,1068,POPLATEK MESICNE,52,Usti nad Orlici,east Bohemia,139012,8363.0,3.0,2564.0,C,Vigente,"En curso, al dia",253200.0,60,4220.0,253200.0
5170,1994-01-20,1994,1,1286,F,48,OWNER,1071,POPLATEK TYDNE,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,C,Vigente,"En curso, al dia",253200.0,60,4220.0,253200.0
5172,1998-04-16,1998,4,1300,M,19,OWNER,1083,POPLATEK MESICNE,45,Jicin,east Bohemia,77917,8390.0,2.0,2080.0,C,Vigente,"En curso, al dia",50976.0,36,1416.0,50976.0
5174,1997-06-13,1997,6,1311,F,42,OWNER,1093,POPLATEK MESICNE,54,Brno - mesto,south Moravia,387570,9897.0,2.0,18721.0,C,Vigente,"En curso, al dia",385104.0,48,8023.0,385104.0
5176,1994-11-12,1994,11,1327,F,35,OWNER,1106,POPLATEK TYDNE,20,Strakonice,south Bohemia,70646,8547.0,3.0,1563.0,B,Cerrado,"Pagado, contrato terminado con deuda",192552.0,24,8023.0,192552.0
5189,1994-02-07,1994,2,1404,F,30,OWNER,1166,POPLATEK MESICNE,11,Praha - zapad,central Bohemia,75637,9622.0,0.0,3475.0,A,Cerrado,Pagado sin problemas,149040.0,48,3105.0,0.0
5206,1997-09-07,1997,9,1499,F,47,OWNER,1242,POPLATEK PO OBRATU,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,C,Vigente,"En curso, al dia",128544.0,24,5356.0,128544.0
5207,1997-02-28,1997,2,1501,M,52,OWNER,1244,POPLATEK MESICNE,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,C,Vigente,"En curso, al dia",35904.0,48,748.0,35904.0
5208,1995-03-16,1995,3,1505,F,27,OWNER,1247,POPLATEK MESICNE,25,Klatovy,west Bohemia,88757,8554.0,2.0,1822.0,D,Vigente,"En curso, en mora",99696.0,48,2077.0,99696.0
5209,1996-11-25,1996,11,1509,F,56,OWNER,1250,POPLATEK MESICNE,62,Uherske Hradiste,south Moravia,145688,8544.0,1.0,2719.0,C,Vigente,"En curso, al dia",182640.0,48,3805.0,182640.0
5210,1997-04-01,1997,4,1511,F,36,OWNER,1252,POPLATEK TYDNE,13,Rakovnik,central Bohemia,53921,8598.0,3.0,1597.0,C,Vigente,"En curso, al dia",148140.0,36,4115.0,148140.0
5212,1995-05-29,1995,5,1516,F,52,OWNER,1256,POPLATEK MESICNE,38,Louny,north Bohemia,85852,8965.0,7.0,2653.0,A,Cerrado,Pagado sin problemas,71064.0,36,1974.0,0.0
5214,1997-07-01,1997,7,1533,M,38,OWNER,1270,POPLATEK PO OBRATU,55,Brno - venkov,south Moravia,157042,8743.0,2.0,3659.0,C,Vigente,"En curso, al dia",74772.0,36,2077.0,74772.0
5221,1998-12-05,1998,12,1554,M,54,OWNER,1284,POPLATEK MESICNE,55,Brno - venkov,south Moravia,157042,8743.0,2.0,3659.0,C,Vigente,"En curso, al dia",52512.0,12,4376.0,52512.0
5226,1998-10-11,1998,10,1594,M,59,OWNER,1318,POPLATEK MESICNE,56,Breclav,south Moravia,124605,8772.0,5.0,2854.0,C,Vigente,"En curso, al dia",185544.0,36,5154.0,185544.0
5229,1997-09-06,1997,9,1608,M,57,OWNER,1329,POPLATEK MESICNE,53,Blansko,south Moravia,107911,8240.0,3.0,1850.0,A,Cerrado,Pagado sin problemas,23520.0,12,1960.0,0.0
5236,1997-09-15,1997,9,1662,M,31,OWNER,1374,POPLATEK MESICNE,53,Blansko,south Moravia,107911,8240.0,3.0,1850.0,C,Vigente,"En curso, al dia",389136.0,48,8107.0,389136.0
5237,1995-08-29,1995,8,1663,M,41,OWNER,1375,POPLATEK MESICNE,19,Prachatice,south Bohemia,51428,8402.0,3.0,999.0,A,Cerrado,Pagado sin problemas,45336.0,24,1889.0,0.0
5241,1998-09-02,1998,9,1681,M,58,OWNER,1389,POPLATEK MESICNE,34,Chomutov,north Bohemia,125236,9675.0,6.0,5323.0,C,Vigente,"En curso, al dia",125472.0,24,5228.0,125472.0
5245,1998-01-17,1998,1,1705,F,52,OWNER,1407,POPLATEK PO OBRATU,19,Prachatice,south Bohemia,51428,8402.0,3.0,999.0,C,Vigente,"En curso, al dia",125472.0,24,5228.0,125472.0
5253,1997-06-03,1997,6,1755,F,33,OWNER,1447,POPLATEK MESICNE,65,Znojmo,south Moravia,114200,8403.0,6.0,2157.0,C,Vigente,"En curso, al dia",100080.0,48,2085.0,100080.0
5260,1998-01-19,1998,1,1793,F,53,OWNER,1480,POPLATEK TYDNE,41,Usti nad Labem,north Bohemia,118650,9832.0,3.0,6445.0,C,Vigente,"En curso, al dia",123300.0,36,3425.0,123300.0
5265,1998-10-07,1998,10,1816,M,47,OWNER,1498,POPLATEK TYDNE,62,Uherske Hradiste,south Moravia,145688,8544.0,1.0,2719.0,C,Vigente,"En curso, al dia",165780.0,60,2763.0,165780.0
5269,1994-11-19,1994,11,1851,F,23,OWNER,1527,POPLATEK PO OBRATU,31,Tachov,west Bohemia,51313,8930.0,4.0,1328.0,B,Cerrado,"Pagado, contrato terminado con deuda",164052.0,36,4557.0,164052.0
5270,1997-07-21,1997,7,1852,M,36,OWNER,1528,POPLATEK MESICNE,50,Svitavy,east Bohemia,102609,8187.0,5.0,2123.0,C,Vigente,"En curso, al dia",191088.0,48,3981.0,191088.0
5281,1997-11-27,1997,11,1913,M,30,OWNER,1580,POPLATEK MESICNE,69,Jesenik,north Moravia,42821,8173.0,,,C,Vigente,"En curso, al dia",194256.0,24,8094.0,194256.0
5282,1996-08-24,1996,8,1917,F,29,OWNER,1583,POPLATEK PO OBRATU,69,Jesenik,north Moravia,42821,8173.0,,,D,Vigente,"En curso, en mora",388512.0,48,8094.0,388512.0
5285,1994-02-06,1994,2,1944,F,41,OWNER,1603,POPLATEK MESICNE,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,A,Cerrado,Pagado sin problemas,78936.0,12,6578.0,0.0
5287,1998-01-26,1998,1,1985,M,61,OWNER,1638,POPLATEK TYDNE,6,Kutna Hora,central Bohemia,77963,8546.0,3.0,2640.0,C,Vigente,"En curso, al dia",64224.0,24,2676.0,64224.0
5293,1998-10-29,1998,10,2008,M,58,OWNER,1656,POPLATEK MESICNE,47,Pardubice,east Bohemia,162580,9538.0,2.0,6079.0,C,Vigente,"En curso, al dia",189792.0,48,3954.0,189792.0
5301,1996-07-06,1996,7,2063,F,48,OWNER,1698,POPLATEK MESICNE,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,C,Vigente,"En curso, al dia",141948.0,36,3943.0,141948.0
5304,1998-08-20,1998,8,2083,M,55,OWNER,1718,POPLATEK MESICNE,71,Novy Jicin,north Moravia,161227,8678.0,6.0,4980.0,C,Vigente,"En curso, al dia",172272.0,24,7178.0,172272.0
5310,1995-04-28,1995,4,2136,F,58,OWNER,1762,POPLATEK MESICNE,28,Plzen - sever,west Bohemia,72541,8594.0,2.0,1580.0,A,Cerrado,Pagado sin problemas,248148.0,36,6893.0,0.0
5311,1996-06-15,1996,6,2141,M,47,OWNER,1766,POPLATEK MESICNE,28,Plzen - sever,west Bohemia,72541,8594.0,2.0,1580.0,C,Vigente,"En curso, al dia",30060.0,60,501.0,30060.0
5312,1996-03-13,1996,3,2148,F,45,OWNER,1772,POPLATEK TYDNE,31,Tachov,west Bohemia,51313,8930.0,4.0,1328.0,C,Vigente,"En curso, al dia",202788.0,36,5633.0,202788.0
5313,1998-05-27,1998,5,2153,F,49,OWNER,1776,POPLATEK MESICNE,36,Liberec,north Bohemia,159617,9198.0,3.0,5796.0,C,Vigente,"En curso, al dia",43200.0,24,1800.0,43200.0
5314,1993-07-05,1993,7,2166,F,51,OWNER,1787,POPLATEK TYDNE,30,Sokolov,west Bohemia,94812,9650.0,3.0,2985.0,B,Cerrado,"Pagado, contrato terminado con deuda",96396.0,12,8033.0,96396.0
5316,1993-07-11,1993,7,2181,M,30,OWNER,1801,POPLATEK MESICNE,46,Nachod,east Bohemia,112709,8369.0,2.0,2854.0,A,Cerrado,Pagado sin problemas,165960.0,36,4610.0,0.0
5318,1998-09-30,1998,9,2190,M,24,OWNER,1808,POPLATEK MESICNE,28,Plzen - sever,west Bohemia,72541,8594.0,2.0,1580.0,C,Vigente,"En curso, al dia",385584.0,48,8033.0,385584.0
5319,1994-06-23,1994,6,2195,F,56,OWNER,1811,POPLATEK MESICNE,40,Teplice,north Bohemia,128118,9317.0,6.0,6949.0,C,Vigente,"En curso, al dia",239460.0,60,3991.0,239460.0
5320,1998-01-11,1998,1,2205,M,46,OWNER,1819,POPLATEK TYDNE,55,Brno - venkov,south Moravia,157042,8743.0,2.0,3659.0,C,Vigente,"En curso, al dia",143676.0,36,3991.0,143676.0
5325,1993-08-03,1993,8,2235,F,58,OWNER,1843,POPLATEK MESICNE,12,Pribram,central Bohemia,107870,8754.0,4.0,3804.0,A,Cerrado,Pagado sin problemas,105804.0,36,2939.0,0.0
5329,1996-10-16,1996,10,2259,F,48,OWNER,1862,POPLATEK TYDNE,19,Prachatice,south Bohemia,51428,8402.0,3.0,999.0,C,Vigente,"En curso, al dia",396120.0,60,6602.0,396120.0
5332,1998-01-29,1998,1,2267,F,32,OWNER,1869,POPLATEK MESICNE,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,C,Vigente,"En curso, al dia",37944.0,36,1054.0,37944.0
5334,1998-09-10,1998,9,2277,M,19,OWNER,1876,POPLATEK MESICNE,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,C,Vigente,"En curso, al dia",209040.0,24,8710.0,209040.0
5337,1996-07-31,1996,7,2288,F,41,OWNER,1886,POPLATEK MESICNE,32,Ceska Lipa,north Bohemia,105058,9272.0,3.0,4340.0,C,Vigente,"En curso, al dia",162468.0,36,4513.0,162468.0
5338,1997-08-30,1997,8,2291,M,41,OWNER,1888,POPLATEK MESICNE,6,Kutna Hora,central Bohemia,77963,8546.0,3.0,2640.0,B,Cerrado,"Pagado, contrato terminado con deuda",57360.0,12,4780.0,57360.0
5343,1997-10-08,1997,10,2316,M,28,OWNER,1906,POPLATEK MESICNE,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,C,Vigente,"En curso, al dia",44952.0,24,1873.0,44952.0
5346,1998-12-06,1998,12,2342,M,50,OWNER,1928,POPLATEK MESICNE,70,Karvina,north Moravia,285387,10177.0,7.0,9878.0,C,Vigente,"En curso, al dia",55632.0,24,2318.0,55632.0
5350,1996-04-21,1996,4,2392,M,43,OWNER,1967,POPLATEK TYDNE,26,Plzen - mesto,west Bohemia,170449,10787.0,3.0,6041.0,C,Vigente,"En curso, al dia",249312.0,48,5194.0,249312.0
5351,1994-12-04,1994,12,2403,F,35,OWNER,1978,POPLATEK TYDNE,57,Hodonin,south Moravia,161954,8720.0,4.0,3729.0,A,Cerrado,Pagado sin problemas,205200.0,36,5700.0,0.0
5352,1995-04-15,1995,4,2422,F,22,OWNER,1993,POPLATEK MESICNE,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,B,Cerrado,"Pagado, contrato terminado con deuda",68400.0,12,5700.0,68400.0
5354,1998-07-14,1998,7,2430,M,61,OWNER,2000,POPLATEK MESICNE,5,Kolin,central Bohemia,95616,9307.0,4.0,2616.0,C,Vigente,"En curso, al dia",290820.0,60,4847.0,290820.0
5358,1997-01-21,1997,1,2451,M,59,OWNER,2018,POPLATEK MESICNE,42,Havlickuv Brod,east Bohemia,95907,8388.0,2.0,1658.0,A,Cerrado,Pagado sin problemas,38520.0,12,3210.0,0.0
5360,1998-01-25,1998,1,2470,M,55,OWNER,2035,POPLATEK MESICNE,53,Blansko,south Moravia,107911,8240.0,3.0,1850.0,C,Vigente,"En curso, al dia",176328.0,36,4898.0,176328.0
5363,1997-04-22,1997,4,2489,F,23,OWNER,2051,POPLATEK TYDNE,64,Zlin,south Moravia,197099,9624.0,2.0,4484.0,D,Vigente,"En curso, en mora",293880.0,60,4898.0,293880.0
5365,1998-07-19,1998,7,2494,M,27,OWNER,2055,POPLATEK MESICNE,37,Litomerice,north Bohemia,114006,9065.0,4.0,4147.0,C,Vigente,"En curso, al dia",271260.0,60,4521.0,271260.0
5366,1996-10-29,1996,10,2501,F,58,OWNER,2062,POPLATEK MESICNE,70,Karvina,north Moravia,285387,10177.0,7.0,9878.0,A,Cerrado,Pagado sin problemas,86184.0,12,7182.0,0.0
5367,1997-08-26,1997,8,2503,F,21,OWNER,2064,POPLATEK MESICNE,54,Brno - mesto,south Moravia,387570,9897.0,2.0,18721.0,C,Vigente,"En curso, al dia",83628.0,36,2323.0,83628.0
5368,1998-10-05,1998,10,2514,M,41,OWNER,2073,POPLATEK MESICNE,59,Kromeriz,south Moravia,108871,8444.0,3.0,2595.0,C,Vigente,"En curso, al dia",44640.0,24,1860.0,44640.0
5369,1997-09-12,1997,9,2522,M,61,OWNER,2080,POPLATEK MESICNE,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,C,Vigente,"En curso, al dia",214596.0,36,5961.0,214596.0
5375,1996-10-03,1996,10,2550,F,22,OWNER,2106,POPLATEK MESICNE,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,A,Cerrado,Pagado sin problemas,101520.0,12,8460.0,0.0
5377,1997-08-04,1997,8,2560,F,24,OWNER,2116,POPLATEK MESICNE,70,Karvina,north Moravia,285387,10177.0,7.0,9878.0,A,Cerrado,Pagado sin problemas,92400.0,12,7700.0,0.0
5382,1997-03-17,1997,3,2581,F,45,OWNER,2134,POPLATEK MESICNE,52,Usti nad Orlici,east Bohemia,139012,8363.0,3.0,2564.0,C,Vigente,"En curso, al dia",22932.0,36,637.0,22932.0
5384,1998-03-07,1998,3,2590,F,34,OWNER,2142,POPLATEK MESICNE,42,Havlickuv Brod,east Bohemia,95907,8388.0,2.0,1658.0,C,Vigente,"En curso, al dia",23328.0,12,1944.0,23328.0
5385,1996-09-09,1996,9,2592,F,18,OWNER,2143,POPLATEK MESICNE,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,C,Vigente,"En curso, al dia",71460.0,36,1985.0,71460.0
5388,1996-11-28,1996,11,2606,M,55,OWNER,2153,POPLATEK TYDNE,31,Tachov,west Bohemia,51313,8930.0,4.0,1328.0,A,Cerrado,Pagado sin problemas,61560.0,12,5130.0,0.0
5389,1997-08-22,1997,8,2621,M,42,OWNER,2165,POPLATEK MESICNE,51,Trutnov,east Bohemia,121947,8541.0,3.0,3496.0,C,Vigente,"En curso, al dia",78600.0,24,3275.0,78600.0
5390,1994-10-30,1994,10,2623,F,33,OWNER,2167,POPLATEK MESICNE,16,Jindrichuv Hradec,south Bohemia,93931,8427.0,1.0,1874.0,A,Cerrado,Pagado sin problemas,170256.0,24,7094.0,0.0
5395,1994-07-30,1994,7,2635,F,32,OWNER,2176,POPLATEK MESICNE,67,Bruntal,north Moravia,106054,8110.0,6.0,3244.0,B,Cerrado,"Pagado, contrato terminado con deuda",299088.0,36,8308.0,299088.0
5398,1997-11-04,1997,11,2647,M,58,OWNER,2187,POPLATEK TYDNE,9,Nymburk,central Bohemia,81344,8899.0,3.0,2987.0,A,Cerrado,Pagado sin problemas,53472.0,12,4456.0,0.0
