id_cliente,sexo,fecha_nacimiento,edad_corte,tipo_disposicion,etiqueta_buen_pagador,id_distrito,nombre_distrito,region,poblacion,salario_promedio,tasa_desempleo,tasa_criminalidad,tiene_prestamo,id_prestamo,monto_prestamo,plazo_prestamo,cuota_mensual_prestamo,estado_prestamo,condicion_prestamo,total_ordenes_activas,monto_total_ordenes_mensual,monto_promedio_orden,total_transacciones,total_depositos,total_retiros,saldo_promedio,saldo_minimo,saldo_maximo
13,F,1974-05-29,24,OWNER,,54,Brno - mesto,south Moravia,387570,9897.0,2.0,18721.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,8377.0,4188.5,156,549951.0,490664.0,47792.211538,1100.0,83410.0
14,F,1942-06-22,56,OWNER,,76,Sumperk,north Moravia,127369,8369.0,5.0,3736.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2132.0,2132.0,186,140646.0,117470.0,27834.634408,300.0,40389.0
15,F,1918-08-28,80,OWNER,,21,Tabor,south Bohemia,103347,9104.0,2.0,2299.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,3592.0,1796.0,106,121433.0,95325.0,20142.698113,1100.0,29053.0
16,M,1919-02-25,79,DISPONENT,,21,Tabor,south Bohemia,103347,9104.0,2.0,2299.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
17,M,1934-10-13,64,OWNER,,76,Sumperk,north Moravia,127369,8369.0,5.0,3736.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2444.0,2444.0,75,110720.0,97499.0,15120.546666,1000.0,29751.0
18,F,1931-04-05,67,DISPONENT,,76,Sumperk,north Moravia,127369,8369.0,5.0,3736.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
19,M,1942-12-28,56,OWNER,,47,Pardubice,east Bohemia,162580,9538.0,2.0,6079.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,3629.0,3629.0,124,412588.0,373280.0,39603.73387,400.0,59453.0
20,M,1979-01-04,19,OWNER,,46,Nachod,east Bohemia,112709,8369.0,2.0,2854.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,3072.0,3072.0,365,1188501.0,1141098.0,38645.301369,800.0,66671.0
21,F,1952-10-29,46,OWNER,,12,Pribram,central Bohemia,107870,8754.0,4.0,3804.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,60,347217.0,314190.0,29600.766666,500.0,60274.0
22,F,1969-10-11,29,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,4032.0,4032.0,54,255462.0,157586.0,50791.648148,700.0,100815.0
23,M,1973-05-29,25,DISPONENT,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
24,F,1939-07-29,59,OWNER,,43,Hradec Kralove,east Bohemia,161854,9425.0,2.0,4085.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,328,1905134.0,1823570.0,52267.481707,576.0,155603.0
25,F,1939-04-23,59,OWNER,False,21,Tabor,south Bohemia,103347,9104.0,2.0,2299.0,1,4961.0,30276.0,12.0,2523.0,B,Cerrado,1,2523.0,2523.0,303,793196.0,782336.0,16253.069306,-10605.0,58158.0
26,F,1969-04-20,29,OWNER,,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2003.0,2003.0,116,86224.0,68537.0,15604.120689,500.0,20458.0
27,F,1966-03-26,32,OWNER,,54,Brno - mesto,south Moravia,387570,9897.0,2.0,18721.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,6276.0,6276.0,62,175834.0,122604.0,35286.290322,1100.0,61685.0
28,M,1945-09-29,53,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,6352.0,6352.0,310,1067606.0,1031884.0,40694.506451,1100.0,68160.0
29,F,1951-09-11,47,OWNER,,30,Sokolov,west Bohemia,94812,9650.0,3.0,2985.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,5807.0,5807.0,370,1639485.0,1556404.0,52316.197297,800.0,95299.0
30,F,1957-10-09,41,OWNER,,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,7862.0,3931.0,140,354861.0,333282.0,27687.621428,1000.0,49091.0
31,M,1962-02-09,36,OWNER,True,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,1,4962.0,30276.0,12.0,2523.0,A,Cerrado,4,10614.0,2653.5,274,1494375.0,1464181.0,56279.237226,900.0,134210.0
32,M,1980-07-28,18,OWNER,,52,Usti nad Orlici,east Bohemia,139012,8363.0,3.0,2564.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,10387.0,10387.0,351,1761407.0,1709657.0,32862.658119,800.0,83469.0
33,F,1948-12-04,50,OWNER,,73,Opava,north Moravia,182027,8746.0,3.0,4355.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,4054.0,4054.0,352,618580.0,586402.0,22750.397727,900.0,40464.0
36,F,1978-07-17,20,OWNER,,7,Melnik,central Bohemia,94725,9920.0,2.0,4289.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,3,7708.0,2569.333333,367,961742.0,924209.0,32130.411444,700.0,59950.0
37,M,1970-08-10,28,DISPONENT,,7,Melnik,central Bohemia,94725,9920.0,2.0,4289.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
38,F,1973-07-23,25,OWNER,,36,Liberec,north Bohemia,159617,9198.0,3.0,5796.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2480.0,2480.0,281,2302980.0,2258841.0,56750.234875,400.0,149154.0
39,M,1968-01-25,30,OWNER,,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,10202.0,10202.0,383,2910489.0,2897211.0,57445.587467,800.0,137131.0
40,F,1957-01-22,41,OWNER,,5,Kolin,central Bohemia,95616,9307.0,4.0,2616.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,180,734334.0,644625.0,55656.966666,700.0,90565.0
41,M,1968-08-27,30,OWNER,,22,Domazlice,west Bohemia,58400,8620.0,1.0,1089.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,3892.0,3892.0,344,1672201.0,1559813.0,72337.561046,600.0,123696.0
42,M,1935-08-17,63,OWNER,,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,3,8051.0,2683.666666,409,2196376.0,2146258.0,53975.894865,600.0,94580.0
43,M,1920-10-28,78,OWNER,,75,Prerov,north Moravia,138032,8819.0,5.0,4063.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,2384.0,1192.0,379,359359.0,338634.0,19932.319261,600.0,32520.0
44,F,1977-01-11,21,OWNER,,38,Louny,north Bohemia,85852,8965.0,7.0,2653.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,4069.0,4069.0,388,1436080.0,1356953.0,44958.030927,500.0,85055.0
45,M,1952-08-26,46,OWNER,,20,Strakonice,south Bohemia,70646,8547.0,3.0,1563.0,1,4967.0,318480.0,60.0,5308.0,D,Vigente,4,10306.0,2576.5,130,497029.0,451130.0,37547.484615,-1011.0,104762.0
46,F,1940-01-30,58,OWNER,,19,Prachatice,south Bohemia,51428,8402.0,3.0,999.0,1,4968.0,110736.0,48.0,2307.0,C,Vigente,4,9667.0,2416.75,130,308266.0,263686.0,34462.384615,13841.0,55991.0
47,M,1934-07-14,64,OWNER,,76,Sumperk,north Moravia,127369,8369.0,5.0,3736.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,3115.0,1557.5,399,414931.0,398635.0,24918.152882,1100.0,36322.0
48,M,1940-02-09,58,OWNER,,16,Jindrichuv Hradec,south Bohemia,93931,8427.0,1.0,1874.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,4334.0,2167.0,366,464911.0,441227.0,23698.267759,700.0,41560.0
49,F,1959-05-11,39,OWNER,,72,Olomouc,north Moravia,226122,8994.0,4.0,9672.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,71,327943.0,227180.0,58751.802816,800.0,100992.0
50,F,1978-07-30,20,OWNER,,39,Most,north Bohemia,119895,10446.0,7.0,4947.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,3,6070.0,2023.333333,198,310492.0,284514.0,29084.141414,800.0,45322.0
51,F,1979-12-02,19,OWNER,,36,Liberec,north Bohemia,159617,9198.0,3.0,5796.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,6589.0,6589.0,321,1451227.0,1390480.0,60897.218068,1100.0,99572.0
52,M,1924-12-12,74,OWNER,,32,Ceska Lipa,north Bohemia,105058,9272.0,3.0,4340.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2344.0,2344.0,316,286629.0,262812.0,19124.759493,400.0,29482.0
53,M,1977-05-05,21,OWNER,,64,Zlin,south Moravia,197099,9624.0,2.0,4484.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,69,79639.0,53765.0,27239.797101,300.0,52970.0
55,F,1948-09-18,50,OWNER,,45,Jicin,east Bohemia,77917,8390.0,2.0,2080.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,4,7264.0,1816.0,565,2506331.0,2427593.0,45139.157522,300.0,108509.0
56,M,1960-03-31,38,OWNER,,21,Tabor,south Bohemia,103347,9104.0,2.0,2299.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,7297.0,3648.5,151,634071.0,563160.0,49740.437086,700.0,72803.0
57,F,1961-12-17,37,DISPONENT,,21,Tabor,south Bohemia,103347,9104.0,2.0,2299.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
58,F,1927-04-29,71,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,3102.0,3102.0,93,99237.0,83932.0,15599.064516,300.0,24004.0
59,M,1957-02-18,41,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,7293.0,3646.5,377,1001520.0,915408.0,37433.424403,900.0,90088.0
60,M,1980-02-19,18,OWNER,,67,Bruntal,north Moravia,106054,8110.0,6.0,3244.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,4131.0,2065.5,192,710284.0,612070.0,59944.59375,800.0,106203.0
61,F,1948-08-06,50,OWNER,,16,Jindrichuv Hradec,south Bohemia,93931,8427.0,1.0,1874.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,4283.0,2141.5,144,642934.0,621779.0,39730.826388,900.0,83077.0
62,M,1932-12-08,66,OWNER,,77,Vsetin,north Moravia,148545,8909.0,4.0,3460.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2851.0,2851.0,197,187627.0,172509.0,18613.86802,700.0,27519.0
63,M,1959-06-04,39,OWNER,,4,Kladno,central Bohemia,149893,9753.0,5.0,5244.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2280.0,2280.0,210,154800.0,127995.0,18798.228571,1000.0,29756.0
64,M,1926-04-22,72,OWNER,,20,Strakonice,south Bohemia,70646,8547.0,3.0,1563.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,3086.0,3086.0,150,159868.0,138889.0,16824.973333,300.0,23445.0
65,F,1943-05-27,55,OWNER,,50,Svitavy,east Bohemia,102609,8187.0,5.0,2123.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,8080.0,8080.0,293,909741.0,852190.0,34957.843003,900.0,78757.0
66,F,1951-11-10,47,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,4107.0,4107.0,255,1009437.0,946443.0,43838.760784,700.0,77726.0
67,F,1932-11-11,66,OWNER,,29,Rokycany,west Bohemia,45714,8843.0,3.0,818.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,137,164373.0,153122.0,12628.875912,-2204.0,28954.0
68,M,1946-12-14,52,OWNER,,43,Hradec Kralove,east Bohemia,161854,9425.0,2.0,4085.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,6885.0,3442.5,385,941102.0,861305.0,45484.732467,600.0,89720.0
70,M,1925-12-22,73,OWNER,,70,Karvina,north Moravia,285387,10177.0,7.0,9878.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,2313.0,1156.5,339,246503.0,228095.0,19932.362831,700.0,31765.0
71,F,1927-02-06,71,DISPONENT,,70,Karvina,north Moravia,285387,10177.0,7.0,9878.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
72,M,1923-01-13,75,OWNER,,47,Pardubice,east Bohemia,162580,9538.0,2.0,6079.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2273.0,2273.0,356,357755.0,341095.0,23603.598314,1100.0,36366.0
73,M,1924-02-20,74,OWNER,,22,Domazlice,west Bohemia,58400,8620.0,1.0,1089.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,2394.0,1197.0,129,128535.0,96207.0,26384.813953,600.0,37303.0
74,F,1925-07-26,73,DISPONENT,,22,Domazlice,west Bohemia,58400,8620.0,1.0,1089.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
75,F,1977-09-19,21,OWNER,,64,Zlin,south Moravia,197099,9624.0,2.0,4484.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,44,119828.0,98100.0,24198.568181,200.0,79559.0
76,F,1967-10-01,31,OWNER,,36,Liberec,north Bohemia,159617,9198.0,3.0,5796.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,3,7402.0,2467.333333,181,706799.0,650659.0,53423.298342,600.0,85379.0
77,F,1956-02-18,42,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,4471.0,4471.0,316,2989788.0,2889532.0,64825.601265,400.0,129813.0
78,F,1944-06-13,54,OWNER,True,16,Jindrichuv Hradec,south Bohemia,93931,8427.0,1.0,1874.0,1,4973.0,165960.0,24.0,6915.0,A,Cerrado,3,13753.0,4584.333333,382,2278938.0,2239245.0,56893.405759,700.0,134939.0
79,F,1969-03-10,29,OWNER,,37,Litomerice,north Bohemia,114006,9065.0,4.0,4147.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,4,3089.0,772.25,424,1871323.0,1774206.0,65934.169811,200.0,131470.0
80,F,1979-02-25,19,OWNER,,64,Zlin,south Moravia,197099,9624.0,2.0,4484.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,196,282307.0,218845.0,29508.928571,600.0,71708.0
81,M,1976-04-29,22,OWNER,,8,Mlada Boleslav,central Bohemia,112065,11277.0,1.0,5179.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,4150.0,4150.0,245,478824.0,436415.0,38459.75102,500.0,60184.0
82,F,1979-12-25,19,DISPONENT,,8,Mlada Boleslav,central Bohemia,112065,11277.0,1.0,5179.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
83,F,1978-12-25,20,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,4,4359.0,1089.75,496,1382686.0,1313133.0,51627.147177,700.0,94860.0
84,M,1979-05-05,19,DISPONENT,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
85,M,1961-08-27,37,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,3,12318.0,4106.0,242,1654842.0,1632504.0,55671.095041,1100.0,156396.0
86,F,1969-07-20,29,DISPONENT,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
87,F,1946-11-17,52,OWNER,,72,Olomouc,north Moravia,226122,8994.0,4.0,9672.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,6061.0,6061.0,366,1313258.0,1251353.0,48022.07377,400.0,89175.0
89,F,1951-05-05,47,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,3369.0,3369.0,215,555592.0,530309.0,24760.167441,700.0,49848.0
90,M,1975-08-17,23,OWNER,,52,Usti nad Orlici,east Bohemia,139012,8363.0,3.0,2564.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,5208.0,5208.0,163,299931.0,280306.0,29175.969325,200.0,49609.0
91,M,1940-08-07,58,OWNER,,63,Vyskov,south Moravia,86513,8288.0,4.0,1562.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,1709.0,1709.0,104,473646.0,454312.0,29181.384615,400.0,56325.0
92,F,1966-06-12,32,OWNER,,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,9039.0,9039.0,388,1273708.0,1195794.0,35816.945876,400.0,78733.0
93,M,1925-02-16,73,OWNER,,3,Beroun,central Bohemia,75232,8980.0,2.0,2824.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2788.0,2788.0,104,106824.0,84928.0,19563.51923,600.0,27474.0
94,M,1947-09-09,51,OWNER,,43,Hradec Kralove,east Bohemia,161854,9425.0,2.0,4085.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2252.0,2252.0,176,135526.0,108188.0,19465.238636,900.0,28082.0
95,F,1952-08-03,46,DISPONENT,,43,Hradec Kralove,east Bohemia,161854,9425.0,2.0,4085.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
96,M,1972-02-29,26,OWNER,,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,3,2056.0,685.333333,217,135754.0,99319.0,26561.589861,1000.0,39080.0
97,M,1965-11-28,33,OWNER,,26,Plzen - mesto,west Bohemia,170449,10787.0,3.0,6041.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,332,2462379.0,2378467.0,61863.472891,300.0,161574.0
98,F,1973-05-04,25,OWNER,,33,Decin,north Bohemia,133777,8705.0,6.0,4650.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,6150.0,3075.0,431,725600.0,692385.0,24506.529002,500.0,42435.0
99,M,1973-01-26,25,DISPONENT,,33,Decin,north Bohemia,133777,8705.0,6.0,4650.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
100,F,1942-08-11,56,OWNER,,44,Chrudim,east Bohemia,105606,8254.0,3.0,2166.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,14161.0,7080.5,211,1239522.0,1135396.0,47136.398104,1100.0,133184.0
101,M,1943-01-23,55,OWNER,,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,5623.0,2811.5,108,181596.0,129587.0,29104.953703,400.0,59467.0
102,F,1958-09-10,40,OWNER,,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,2162.0,1081.0,410,233442.0,211485.0,20226.519512,800.0,28700.0
103,M,1955-07-11,43,DISPONENT,,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
105,M,1980-05-26,18,OWNER,,31,Tachov,west Bohemia,51313,8930.0,4.0,1328.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,1,2268.0,2268.0,140,104549.0,80133.0,19335.357142,300.0,27174.0
106,F,1968-12-30,30,OWNER,,68,Frydek - Mistek,north Moravia,228848,9893.0,4.0,5623.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,61,98566.0,60650.0,29212.606557,600.0,39075.0
107,M,1972-06-23,26,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,4,9882.0,2470.5,457,1431984.0,1407873.0,31181.62582,500.0,74107.0
108,M,1963-09-13,35,OWNER,,17,Pelhrimov,south Bohemia,74062,8114.0,2.0,1003.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,79,266450.0,270638.0,21705.56962,-4188.0,77111.0
110,F,1967-04-13,31,OWNER,,2,Benesov,central Bohemia,88884,8507.0,2.0,2159.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,143,261393.0,227390.0,26405.223776,500.0,38377.0
112,M,1935-01-25,63,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,217,1182232.0,1101800.0,54172.368663,200.0,97808.0
113,F,1940-08-15,58,DISPONENT,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
114,F,1969-06-24,29,OWNER,,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,5,8160.0,1632.0,661,3417355.0,3332515.0,75665.49773,1100.0,156580.0
115,M,1969-12-24,29,DISPONENT,,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
116,M,1942-01-28,56,OWNER,True,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,1,4986.0,102876.0,12.0,8573.0,A,Cerrado,5,12438.0,2487.6,274,640923.0,588347.0,39814.627737,900.0,67288.0
117,F,1936-09-20,62,DISPONENT,True,74,Ostrava - mesto,north Moravia,323870,10673.0,5.0,18782.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
118,M,1922-07-19,76,OWNER,,55,Brno - venkov,south Moravia,157042,8743.0,2.0,3659.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,2318.0,1159.0,106,93422.0,78984.0,15575.688679,1100.0,25586.0
119,F,1922-02-28,76,DISPONENT,,55,Brno - venkov,south Moravia,157042,8743.0,2.0,3659.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,0,0.0,,0,0.0,0.0,,,
120,M,1976-05-10,22,OWNER,,1,Hl.m. Praha,Prague,1204953,12541.0,0.0,85677.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,9185.0,4592.5,248,1258142.0,1255846.0,48417.237903,600.0,122885.0
121,F,1978-10-29,20,OWNER,,41,Usti nad Labem,north Bohemia,118650,9832.0,3.0,6445.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,7927.0,3963.5,405,883222.0,808397.0,42188.222222,600.0,84377.0
122,F,1963-11-13,35,OWNER,,35,Jablonec n. Nisou,north Bohemia,88768,8867.0,1.0,3384.0,0,,0.0,,0.0,Sin Prestamo,Sin Prestamo,2,8892.0,4446.0,208,676125.0,602446.0,47642.278846,1000.0,81423.0
